,species,genus,family,subfamily,tribe
526,Protosmia,Protosmia,Megachilidae,Megachilinae,Osmiini
527,Pseudoanthidium,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
528,Pseudoanthidium melanurum,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
529,Pseudoanthidium nanum,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
530,Pseudoanthidium reticulatum,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
531,Pseudoanthidium scapulare,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
532,Rhodanthidium,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
533,Rhodanthidium infuscatum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
534,Rhodanthidium septemdentatum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
535,Rhodanthidium siculum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
536,Rhodanthidium sticticum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
537,Rhophitoides canus,Rhophitoides,Halictidae,Rophitinae,
538,Rophites algirus,Rophites,Halictidae,Rophitinae,
539,Rophites quinquespinosus,Rophites,Halictidae,Rophitinae,
540,Seladonia,Seladonia,Halictidae,Halictinae,Halictini
541,Seladonia kessleri,Seladonia,Halictidae,Halictinae,Halictini
542,Seladonia seladonia,Seladonia,Halictidae,Halictinae,Halictini
543,Seladonia subaurata,Seladonia,Halictidae,Halictinae,Halictini
544,Seladonia subaurata corsa,Seladonia,Halictidae,Halictinae,Halictini
545,Seladonia submediterranea,Seladonia,Halictidae,Halictinae,Halictini
546,Seladonia tumulorum,Seladonia,Halictidae,Halictinae,Halictini
547,Sphecodes,Sphecodes,Halictidae,Halictinae,Halictini
548,Sphecodes albilabris,Sphecodes,Halictidae,Halictinae,Halictini
549,Sphecodes ephippius,Sphecodes,Halictidae,Halictinae,Halictini
550,Sphecodes gibbus,Sphecodes,Halictidae,Halictinae,Halictini
551,Sphecodes monilicornis,Sphecodes,Halictidae,Halictinae,Halictini
552,Sphecodes niger,Sphecodes,Halictidae,Halictinae,Halictini
553,Sphecodes olivieri,Sphecodes,Halictidae,Halictinae,Halictini
554,Sphecodes pellucidus,Sphecodes,Halictidae,Halictinae,Halictini
555,Sphecodes puncticeps,Sphecodes,Halictidae,Halictinae,Halictini
556,Sphecodes ruficrus,Sphecodes,Halictidae,Halictinae,Halictini
557,Stelis,Stelis,Megachilidae,Megachilinae,Anthidiini
558,Stelis annulata,Stelis,Megachilidae,Megachilinae,Anthidiini
559,Stelis breviuscula,Stelis,Megachilidae,Megachilinae,Anthidiini
560,Stelis nasuta,Stelis,Megachilidae,Megachilinae,Anthidiini
561,Stelis ornatula,Stelis,Megachilidae,Megachilinae,Anthidiini
562,Stelis phaeoptera,Stelis,Megachilidae,Megachilinae,Anthidiini
563,Stelis punctulatissima,Stelis,Megachilidae,Megachilinae,Anthidiini
564,Stelis signata,Stelis,Megachilidae,Megachilinae,Anthidiini
565,Stelis simillima,Stelis,Megachilidae,Megachilinae,Anthidiini
566,Systropha curvicornis,Systropha,Halictidae,Halictinae,Halictini
567,Systropha planidens,Systropha,Halictidae,Halictinae,Halictini
568,Tetralonia malvae,Tetralonia,Apidae,Eucerinae,Eucerini
569,Tetraloniella,Tetraloniella,Apidae,Eucerinae,Eucerini
570,Tetraloniella alticincta,Tetraloniella,Apidae,Eucerinae,Eucerini
571,Tetraloniella dentata,Tetraloniella,Apidae,Eucerinae,Eucerini
572,Tetraloniella fulvescens,Tetraloniella,Apidae,Eucerinae,Eucerini
573,Tetraloniella inulae,Tetraloniella,Apidae,Eucerinae,Eucerini
574,Tetraloniella nana,Tetraloniella,Apidae,Eucerinae,Eucerini
575,Tetraloniella salicariae,Tetraloniella,Apidae,Eucerinae,Eucerini
576,Tetraloniella strigata,Tetraloniella,Apidae,Eucerinae,Eucerini
577,Thyreus,Thyreus,Apidae,Nomadinae,Melectini
578,Thyreus histrionicus,Thyreus,Apidae,Nomadinae,Melectini
579,Thyreus orbatus,Thyreus,Apidae,Nomadinae,Melectini
580,Thyreus ramosus,Thyreus,Apidae,Nomadinae,Melectini
581,Trachusa,Trachusa,Megachilidae,Megachilinae,Anthidiini
582,Trachusa byssina,Trachusa,Megachilidae,Megachilinae,Anthidiini
583,Trachusa integra,Trachusa,Megachilidae,Megachilinae,Anthidiini
584,Trachusa interrupta,Trachusa,Megachilidae,Megachilinae,Anthidiini
585,Trachusa laeviventris,Trachusa,Megachilidae,Megachilinae,Anthidiini
586,Triepeolus tristis,Triepeolus,Apidae,Nomadinae,Epeolini
587,Vestitohalictus,Vestitohalictus,Halictidae,Halictinae,Halictini
588,Vestitohalictus pollinosus,Vestitohalictus,Halictidae,Halictinae,Halictini
589,Xylocopa,Xylocopa,Apidae,Xylocopinae,Xylocopini
590,Xylocopa cantabrita,Xylocopa,Apidae,Xylocopinae,Xylocopini
591,Xylocopa iris,Xylocopa,Apidae,Xylocopinae,Xylocopini
592,Xylocopa valga,Xylocopa,Apidae,Xylocopinae,Xylocopini
593,Xylocopa violacea,Xylocopa,Apidae,Xylocopinae,Xylocopini
